NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,248,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,240,4107,NO,No,SI,No,si,No,NO, < 10%,NO LO CONOCE,"52,74",NO,NO
,249,SI,SI,NO,NA,L= 100%,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,Sí,130,1479,EN PROCESO,No,SI,No,si,No,NO,0%,NO LO CONOCE,"51,77",NO,NO
,250,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,180,0,NO,No,SI,No,si,No,NO,0%,NO LO CONOCE,"52,74",NO,NO
,254,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,290,0,NO,No,ND,No,si,No,NO,a. > 10%,NO LO CONOCE,"66,11",SI,NO
,255,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,130,855,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"66,11",NO,BLANCO
,341,SI,SI,NO,NA,No responde,65,Si,BLANCO,0.8,BLANCO,BLANCO,NO,SI,No,270,0,NO,No,SI,No,si,No,NO,a. > 10%,NO LO CONOCE,"47,80",NO,BLANCO
,4329,SI,SI,NO,NA,No responde,65,Si,BLANCO,0.8,15.5,BLANCO,SI,SI,No,125,1852,BLANCO,No,ND,No,si,No,NO,0%,BLANCO,"47,80",NO,BLANCO
,4627,SI,SI,NO,NA,No responde,74,Si,BLANCO,0.7,6.1,BLANCO,NO,SI,No,340,0,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"53,83",NO,NO
,621,SI,SI,NO,NA,No responde,65,Si,BLANCO,0.8,BLANCO,BLANCO,NO,SI,No,215,0,NO,No,ND,No,si,No,NO,a. > 10%,NO LO CONOCE,"72,22",NO,NO
,626,SI,SI,NO,NA,No responde,74,Si,BLANCO,0.7,BLANCO,BLANCO,NO,SI,No,125,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"72,22",NO,NO
,627,SI,SI,NO,NA,No responde,65,Si,BLANCO,0.8,BLANCO,BLANCO,NO,SI,No,160,0,NO,No,SI,No,si,No,NO,< 10%,NO LO CONOCE,"72,22",NO,NO
,628,SI,SI,NO,NA,No Tienen,74,Si,BLANCO,0.7,BLANCO,BLANCO,SI,SI,No,200,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"72,22",NO,NO
,629,SI,SI,NO,NA,No responde,74,Si,BLANCO,0.7,BLANCO,BLANCO,NO,SI,No,250,0,NO,No,ND,No,si,No,NO,b. < 10%,NO LO CONOCE,"72,22",NO,NO
,
